testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,sorting,10000,11,1,638896093616992303,638896093617074984,82681,8.2681
0,heap,10000,11,1,638896093617108011,638896093617141675,33664,3.3664
0,sorting,10000,11,2,638896093617142607,638896093617174917,32310,3.231
0,heap,10000,11,2,638896093617175285,638896093617207183,31898,3.1898
0,sorting,10000,11,3,638896093617207464,638896093617238950,31486,3.1486
0,heap,10000,11,3,638896093617239224,638896093617270439,31215,3.1215
0,sorting,10000,11,4,638896093617270681,638896093617302075,31394,3.1394
0,heap,10000,11,4,638896093617302340,638896093617333572,31232,3.1232
0,sorting,10000,11,5,638896093617334166,638896093617365542,31376,3.1376
0,heap,10000,11,5,638896093617365789,638896093617397710,31921,3.1921
0,sorting,10000,11,6,638896093617397961,638896093617429578,31617,3.1617
0,heap,10000,11,6,638896093617429807,638896093617461696,31889,3.1889
0,sorting,10000,11,7,638896093617461926,638896093617494459,32533,3.2533
0,heap,10000,11,7,638896093617495016,638896093617526923,31907,3.1907
0,sorting,10000,11,8,638896093617527447,638896093617560380,32933,3.2933
0,heap,10000,11,8,638896093617561644,638896093617594666,33022,3.3022
0,sorting,10000,11,9,638896093617595359,638896093617626746,31387,3.1387
0,heap,10000,11,9,638896093617627004,638896093617658319,31315,3.1315
0,sorting,10000,11,10,638896093617658535,638896093617689737,31202,3.1202
0,heap,10000,11,10,638896093617689978,638896093617721433,31455,3.1455
0,sorting,10000,11,11,638896093617721679,638896093617752877,31198,3.1198
0,heap,10000,11,11,638896093617753105,638896093617784238,31133,3.1133
0,sorting,10000,11,12,638896093617784476,638896093617815651,31175,3.1175
0,heap,10000,11,12,638896093617815944,638896093617847095,31151,3.1151
0,sorting,10000,11,13,638896093617847369,638896093617878035,30666,3.0666
0,heap,10000,11,13,638896093617878359,638896093617908079,29720,2.972
0,sorting,10000,11,14,638896093617908344,638896093617938304,29960,2.996
0,heap,10000,11,14,638896093617938511,638896093617981559,43048,4.3048
0,sorting,10000,11,15,638896093617982498,638896093618015458,32960,3.296
0,heap,10000,11,15,638896093618016832,638896093618050526,33694,3.3694
0,sorting,10000,11,16,638896093618051876,638896093618083005,31129,3.1129
0,heap,10000,11,16,638896093618083766,638896093618117153,33387,3.3387
0,sorting,10000,11,17,638896093618118290,638896093618149472,31182,3.1182
